ticker,date,open,high,low,close,volume,change_percent
META,2012-12-01,28.0,28.88,25.15,26.62,1190000000,-4.93
META,2012-11-01,21.08,28.0,18.87,28.0,1530000000,32.64
META,2012-10-01,22.08,24.25,18.8,21.11,1100000000,-2.54
META,2012-09-01,18.08,23.37,17.55,21.66,1060000000,19.95
META,2012-08-01,21.5,22.45,18.03,18.06,1150000000,-16.82
META,2012-07-01,31.25,32.88,21.61,21.71,520230000,-30.18
META,2012-06-01,28.89,33.45,25.52,31.09,667980000,5.05
TSLA,2024-12-01,352.38,488.54,348.2,403.84,1900000000,17.0
TSLA,2024-11-01,252.04,361.93,238.88,345.16,2089999999,38.15
TSLA,2024-10-01,262.67,273.54,212.11,249.85,1910000000,-4.5
TSLA,2024-09-01,215.26,264.86,209.64,261.63,1610000000,22.19
TSLA,2024-08-01,227.69,231.87,182.0,214.11,1620000000,-7.74
TSLA,2024-07-01,201.02,271.0,200.85,232.07,2950000000,17.28
TSLA,2024-06-01,178.13,203.2,167.41,197.88,1410000000,11.12
TSLA,2024-05-01,182.0,187.56,167.75,178.08,1670000000,-2.84
TSLA,2024-04-01,176.17,198.87,138.8,183.28,2480000000,4.26
TSLA,2024-03-01,200.52,204.52,160.51,175.79,1900000000,-12.92
TSLA,2024-02-01,188.5,205.6,175.01,201.88,2020000000,7.79
TSLA,2024-01-01,250.08,251.25,180.06,187.29,2340000000,-24.63
TSLA,2023-12-01,233.14,265.13,228.2,248.48,2300000000,3.5
TSLA,2023-11-01,204.04,252.75,197.85,240.08,2650000000,19.54
TSLA,2023-10-01,244.81,268.94,194.07,200.84,2590000000,-19.73
TSLA,2023-09-01,257.26,278.98,234.58,250.22,2440000000,-3.05
TSLA,2023-08-01,266.26,266.47,212.36,258.08,2500000000,-3.5
TSLA,2023-07-01,276.49,299.29,254.12,267.43,2390000000,2.16
TSLA,2023-06-01,202.59,276.99,199.37,261.77,3440000000,28.36
TSLA,2023-05-01,163.17,204.48,158.83,203.93,2680000000,24.11
TSLA,2023-04-01,199.91,202.69,152.37,164.31,2510000000,-20.8
TSLA,2023-03-01,206.21,207.79,163.91,207.46,3310000000,0.85
TSLA,2023-02-01,173.89,217.65,169.93,205.71,3630000000,18.76
TSLA,2023-01-01,118.47,180.68,101.81,173.22,3900000000,40.62
TSLA,2022-12-01,197.08,198.92,108.24,123.18,2940000000,-36.73
TSLA,2022-11-01,234.05,237.4,166.18,194.7,1890000000,-14.43
TSLA,2022-10-01,254.5,257.5,198.59,227.54,1740000000,-14.22
TSLA,2022-09-01,272.58,313.8,262.47,265.25,1300000000,-3.76
TSLA,2022-08-01,301.27,314.67,271.81,275.61,1700000000,-7.25
TSLA,2022-07-01,227.0,298.32,216.17,297.15,1750000000,32.38
TSLA,2022-06-01,251.72,264.21,208.69,224.47,2009999999,-11.19
TSLA,2022-05-01,286.92,318.5,206.86,252.75,1950000000,-12.92
TSLA,2022-04-01,360.38,384.29,273.9,290.25,1520000000,-19.19
TSLA,2022-03-01,289.89,371.59,252.01,359.2,1730000000,23.8
TSLA,2022-02-01,311.74,315.92,233.33,290.14,1390000000,-7.08
TSLA,2022-01-01,382.58,402.67,264.0,312.24,1920000000,-11.36
TSLA,2021-12-01,386.9,390.95,295.37,352.26,1530000000,-7.69
TSLA,2021-11-01,381.67,414.5,326.2,381.59,1950000000,2.76
TSLA,2021-10-01,259.47,371.74,254.53,371.33,1590000000,43.65
TSLA,2021-09-01,244.69,266.33,236.28,258.49,1170000000,5.4
TSLA,2021-08-01,233.33,246.8,216.28,245.24,1150000000,7.06
TSLA,2021-07-01,227.97,233.33,206.82,229.07,1350000000,1.1
TSLA,2021-06-01,209.27,232.54,190.41,226.57,1560000000,8.71
TSLA,2021-05-01,234.6,235.33,182.33,208.41,1880000000,-11.87
TSLA,2021-04-01,229.46,260.26,219.81,236.48,2040000000,6.21
TSLA,2021-03-01,230.04,240.37,179.83,222.64,2830000000,-1.12
TSLA,2021-02-01,271.43,293.5,206.33,225.17,1570000000,-14.87
TSLA,2021-01-01,239.82,300.13,239.06,264.51,2120000000,12.45
TSLA,2020-12-01,199.2,239.57,180.4,235.22,3590000000,24.33
TSLA,2020-11-01,131.33,202.6,130.77,189.2,2350000000,46.27
TSLA,2020-10-01,146.92,155.3,126.37,129.35,2500000000,-9.55
TSLA,2020-09-01,167.38,167.5,109.96,143.0,5210000000,-13.91
TSLA,2020-08-01,96.61,166.71,91.0,166.11,4670000000,74.15
TSLA,2020-07-01,72.2,119.67,72.03,95.38,5680000000,32.5
TSLA,2020-06-01,57.2,72.51,56.94,71.99,3840000000,29.32
TSLA,2020-05-01,50.33,56.22,45.54,55.67,4090000000,6.79
TSLA,2020-04-01,33.6,57.99,29.76,52.13,5720000000,49.21
TSLA,2020-03-01,47.42,53.8,23.37,34.93,6320000000,-21.56
TSLA,2020-02-01,44.91,64.6,40.77,44.53,7100000000,2.68
TSLA,2020-01-01,28.3,43.53,28.11,43.37,6120000000,55.52
TSLA,2019-12-01,21.96,29.02,21.82,27.89,3110000000,26.79
TSLA,2019-11-01,21.09,24.08,20.62,22.0,2370000000,4.77
TSLA,2019-10-01,16.1,22.72,14.95,20.99,3530000000,30.74
TSLA,2019-09-01,14.94,16.9,14.56,16.06,2049999999,6.76
TSLA,2019-08-01,16.18,16.3,14.07,15.04,2009999999,-6.62
TSLA,2019-07-01,15.35,17.74,14.81,16.11,2990000000,8.12
TSLA,2019-06-01,12.37,15.65,11.8,14.9,3220000000,20.68
TSLA,2019-05-01,15.92,17.22,12.27,12.34,4240000000,-22.43
TSLA,2019-04-01,18.84,19.74,15.41,15.91,3460000000,-14.71
TSLA,2019-03-01,20.46,20.48,16.96,18.66,3210000000,-12.51
