"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2016","115.05","118.38","122.50","114.00","408.73M","-2.85%"
"11/01/2016","118.42","131.41","131.94","113.55","654.60M","-9.60%"
"10/01/2016","130.99","128.38","133.50","126.75","313.28M","2.12%"
"09/01/2016","128.27","126.38","131.98","125.60","376.58M","1.70%"
"08/01/2016","126.12","123.85","126.73","122.07","365.67M","1.76%"
"07/01/2016","123.94","114.20","128.33","112.97","470.11M","8.45%"
"06/01/2016","114.28","118.50","119.44","108.23","451.16M","-3.81%"
"05/01/2016","118.81","117.83","121.08","114.80","460.56M","1.05%"
"04/01/2016","117.58","113.75","120.79","106.31","741.61M","3.05%"
"03/01/2016","114.10","107.83","116.99","104.40","521.56M","6.72%"
"02/01/2016","106.92","112.27","117.59","96.82","874.15M","-4.71%"
"01/01/2016","112.21","101.95","112.84","89.37","792.71M","7.21%"
"12/01/2015","104.66","104.83","107.92","101.46","440.48M","0.40%"
"11/01/2015","104.24","102.46","110.65","100.47","547.23M","2.23%"
"10/01/2015","101.97","90.05","105.12","88.36","571.99M","13.43%"
"09/01/2015","89.90","86.85","96.49","85.72","635.40M","0.53%"
"08/01/2015","89.43","93.53","98.74","72.00","709.96M","-4.87%"
"07/01/2015","94.01","86.77","99.24","85.23","790.78M","9.61%"
"06/01/2015","85.76","79.30","89.40","78.66","537.96M","8.30%"
"05/01/2015","79.19","79.24","81.85","76.79","421.87M","0.53%"
"04/01/2015","78.77","82.50","85.59","78.32","542.12M","-4.19%"
"03/01/2015","82.21","79.00","86.07","77.26","575.35M","4.11%"
"02/01/2015","78.97","76.11","81.37","73.45","475.15M","4.03%"
"01/01/2015","75.91","78.58","79.25","73.54","546.21M","-2.70%"
"12/01/2014","78.02","77.26","82.17","74.40","534.69M","0.41%"
"11/01/2014","77.70","75.47","78.27","72.51","491.02M","3.61%"
"10/01/2014","74.99","78.78","81.16","70.32","1.08B","-5.12%"
"09/01/2014","79.04","75.01","79.71","73.07","721.09M","5.64%"
"08/01/2014","74.82","72.22","75.99","71.55","590.83M","2.99%"
"07/01/2014","72.65","67.58","76.74","62.21","1.03B","7.97%"
"06/01/2014","67.29","63.23","68.00","61.79","863.49M","6.30%"
"05/01/2014","63.30","60.43","64.30","56.26","1.12B","5.89%"
"04/01/2014","59.78","60.46","63.91","54.66","1.88B","-0.76%"
"03/01/2014","60.24","66.96","72.59","57.98","1.26B","-12.01%"
"02/01/2014","68.46","63.03","71.44","60.70","1.12B","9.41%"
"01/01/2014","62.57","54.83","63.37","51.85","1.30B","14.49%"
"12/01/2013","54.65","46.90","58.58","46.26","1.52B","16.25%"
"11/01/2013","47.01","50.85","52.09","43.55","1.36B","-6.36%"
"10/01/2013","50.21","49.97","54.83","45.26","2.03B","-0.05%"
"09/01/2013","50.23","41.84","51.60","41.44","1.58B","21.64%"
"08/01/2013","41.29","37.30","42.26","36.02","1.35B","12.21%"
"07/01/2013","36.80","24.97","38.31","24.15","1.44B","47.91%"
"06/01/2013","24.88","24.26","25.19","22.67","788.39M","2.18%"
"05/01/2013","24.35","27.85","29.07","23.26","982.14M","-12.32%"
"04/01/2013","27.77","25.63","28.10","25.15","738.54M","8.56%"
"03/01/2013","25.58","27.05","28.67","24.72","727.18M","-6.13%"
"02/01/2013","27.25","31.01","31.02","26.34","957.66M","-12.04%"
"01/01/2013","30.98","27.44","32.51","27.42","1.68B","16.38%"
"12/01/2012","26.62","28.00","28.88","25.15","1.19B","-4.93%"
"11/01/2012","28.00","21.08","28.00","18.87","1.53B","32.64%"
"10/01/2012","21.11","22.08","24.25","18.80","1.10B","-2.54%"
"09/01/2012","21.66","18.08","23.37","17.55","1.06B","19.95%"
"08/01/2012","18.06","21.50","22.45","18.03","1.15B","-16.82%"
"07/01/2012","21.71","31.25","32.88","21.61","520.23M","-30.18%"
"06/01/2012","31.09","28.89","33.45","25.52","667.98M","5.05%"
